No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Font Source,CSS Import,Tailwind Config,Notes
1,Classic Elegant,Serif + Sans,Playfair Display,Inter,"elegant, luxury, sophisticated, timeless, premium, editorial","Luxury brands, fashion, spa, beauty, editorial, magazines, high-end e-commerce",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Playfair Display';src:url('/fonts/playfair-display.woff2') format('woff2');font-display:swap} @font-face{font-family:'Inter';src:url('/fonts/inter.woff2') format('woff2');font-display:swap},"fontFamily: { serif: ['Playfair Display', 'serif'], sans: ['Inter', 'sans-serif'] }",High contrast between elegant heading and clean body. Perfect for luxury/premium.
2,Modern Professional,Sans + Sans,Poppins,Open Sans,"modern, professional, clean, corporate, friendly, approachable","SaaS, corporate sites, business apps, startups, professional services",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Poppins';src:url('/fonts/poppins.woff2') format('woff2');font-display:swap} @font-face{font-family:'Open Sans';src:url('/fonts/open-sans.woff2') format('woff2');font-display:swap},"fontFamily: { heading: ['Poppins', 'sans-serif'], body: ['Open Sans', 'sans-serif'] }","Geometric Poppins for headings, humanist Open Sans for readability."
3,Tech Startup,Sans + Sans,Space Grotesk,DM Sans,"tech, startup, modern, innovative, bold, futuristic","Tech companies, startups, SaaS, developer tools, AI products",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Space Grotesk';src:url('/fonts/space-grotesk.woff2') format('woff2');font-display:swap} @font-face{font-family:'DM Sans';src:url('/fonts/dm-sans.woff2') format('woff2');font-display:swap},"fontFamily: { heading: ['Space Grotesk', 'sans-serif'], body: ['DM Sans', 'sans-serif'] }","Space Grotesk has unique character, DM Sans is highly readable."
4,Editorial Classic,Serif + Serif,Cormorant Garamond,Libre Baskerville,"editorial, classic, literary, traditional, refined, bookish","Publishing, blogs, news sites, literary magazines, book covers",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Cormorant Garamond';src:url('/fonts/cormorant-garamond.woff2') format('woff2');font-display:swap} @font-face{font-family:'Libre Baskerville';src:url('/fonts/libre-baskerville.woff2') format('woff2');font-display:swap},"fontFamily: { heading: ['Cormorant Garamond', 'serif'], body: ['Libre Baskerville', 'serif'] }",All-serif pairing for traditional editorial feel.
5,Minimal Swiss,Sans + Sans,Inter,Inter,"minimal, clean, swiss, functional, neutral, professional","Dashboards, admin panels, documentation, enterprise apps, design systems",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Inter';src:url('/fonts/inter.woff2') format('woff2');font-display:swap} @font-face{font-family:'Inter';src:url('/fonts/inter.woff2') format('woff2');font-display:swap},"fontFamily: { sans: ['Inter', 'sans-serif'] }",Single font family with weight variations. Ultimate simplicity.
6,Playful Creative,Display + Sans,Fredoka,Nunito,"playful, friendly, fun, creative, warm, approachable","Children's apps, educational, gaming, creative tools, entertainment",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Fredoka';src:url('/fonts/fredoka.woff2') format('woff2');font-display:swap} @font-face{font-family:'Nunito';src:url('/fonts/nunito.woff2') format('woff2');font-display:swap},"fontFamily: { heading: ['Fredoka', 'sans-serif'], body: ['Nunito', 'sans-serif'] }","Rounded, friendly fonts perfect for playful UIs."
7,Bold Statement,Display + Sans,Bebas Neue,Source Sans 3,"bold, impactful, strong, dramatic, modern, headlines","Marketing sites, portfolios, agencies, event pages, sports",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Bebas Neue';src:url('/fonts/bebas-neue.woff2') format('woff2');font-display:swap} @font-face{font-family:'Source Sans 3';src:url('/fonts/source-sans-3.woff2') format('woff2');font-display:swap},"fontFamily: { display: ['Bebas Neue', 'sans-serif'], body: ['Source Sans 3', 'sans-serif'] }",Bebas Neue for large headlines only. All-caps display font.
8,Wellness Calm,Serif + Sans,Lora,Raleway,"calm, wellness, health, relaxing, natural, organic","Health apps, wellness, spa, meditation, yoga, organic brands",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Lora';src:url('/fonts/lora.woff2') format('woff2');font-display:swap} @font-face{font-family:'Raleway';src:url('/fonts/raleway.woff2') format('woff2');font-display:swap},"fontFamily: { serif: ['Lora', 'serif'], sans: ['Raleway', 'sans-serif'] }",Lora's organic curves with Raleway's elegant simplicity.
9,Developer Mono,Mono + Sans,JetBrains Mono,IBM Plex Sans,"code, developer, technical, precise, functional, hacker","Developer tools, documentation, code editors, tech blogs, CLI apps",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'JetBrains Mono';src:url('/fonts/jetbrains-mono.woff2') format('woff2');font-display:swap} @font-face{font-family:'IBM Plex Sans';src:url('/fonts/ibm-plex-sans.woff2') format('woff2');font-display:swap},"fontFamily: { mono: ['JetBrains Mono', 'monospace'], sans: ['IBM Plex Sans', 'sans-serif'] }","JetBrains for code, IBM Plex for UI. Developer-focused."
10,Retro Vintage,Display + Serif,Abril Fatface,Merriweather,"retro, vintage, nostalgic, dramatic, decorative, bold","Vintage brands, breweries, restaurants, creative portfolios, posters",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Abril Fatface';src:url('/fonts/abril-fatface.woff2') format('woff2');font-display:swap} @font-face{font-family:'Merriweather';src:url('/fonts/merriweather.woff2') format('woff2');font-display:swap},"fontFamily: { display: ['Abril Fatface', 'serif'], body: ['Merriweather', 'serif'] }",Abril Fatface for hero headlines only. High-impact vintage feel.
